2	0.01000	o	o	o
3	0.02000	o	o	o
4	0.03000	o	o	o
5	0.04000	o	o	o
6	0.05000	o	o	o
7	0.06000	196.908	-82.750	129.025
8	0.07000	194.765	-82.861	128.877
9	0.08000	192.501	-82.954	128.838
10	0.09000	190.276	-83.102	128.757
11	0.10000	187.930	-83.109	128.697
12	0.11000	185.428	-82.819	128.655
13	0.12000	182.904	-82.407	128.641
14	0.13000	180.105	-81.647	128.490
15	0.14000	177.324	-80.835	128.389
16	0.15000	174.553	-79.979	128.247
17	0.16000	171.723	-79.199	128.049
18	0.17000	168.982	-78.374	127.854
19	0.18000	166.174	-77.589	127.665
20	0.19000	163.406	-76.840	127.510
21	0.20000	160.584	-76.050	127.327
22	0.21000	157.716	-75.276	127.171
23	0.22000	154.924	-74.491	127.007
24	0.23000	152.026	-73.709	126.907
25	0.24000	149.217	-72.910	126.797
26	0.25000	146.461	-72.245	126.729
27	0.26000	143.531	-71.502	126.638
28	0.27000	140.776	-70.755	126.575
29	0.28000	137.927	-70.039	126.521
30	0.29000	135.173	-69.375	126.441
31	0.30000	132.404	-68.596	126.350
32	0.31000	129.548	-67.894	126.265
33	0.32000	126.825	-67.247	126.157
34	0.33000	124.046	-66.548	126.055
35	0.34000	121.258	-65.906	125.995
36	0.35000	118.595	-65.266	125.906
37	0.36000	115.855	-64.647	125.906
38	0.37000	113.083	-64.068	125.922
39	0.38000	110.380	-63.489	125.958
40	0.39000	107.736	-62.850	125.929
41	0.40000	105.123	-62.321	125.958
42	0.41000	102.498	-61.714	125.933
43	0.42000	99.949	-61.170	125.988
44	0.43000	97.313	-60.658	125.951
45	0.44000	94.871	-60.032	125.853
46	0.45000	92.231	-59.523	125.874
47	0.46000	89.796	-59.038	125.906
48	0.47000	87.350	-58.446	125.874
49	0.48000	84.886	-57.941	125.918
50	0.49000	82.434	-57.532	126.002
51	0.50000	80.050	-57.041	126.059
52	0.51000	77.735	-56.550	126.101
53	0.52000	75.402	-56.124	126.178
54	0.53000	73.085	-55.663	126.230
55	0.54000	70.902	-55.286	126.324
56	0.55000	68.679	-54.813	126.312
57	0.56000	66.444	-54.397	126.395
58	0.57000	64.345	-53.996	126.404
59	0.58000	62.196	-53.539	126.445
60	0.59000	60.109	-53.190	126.488
61	0.60000	58.085	-52.786	126.547
62	0.61000	56.106	-52.365	126.590
63	0.62000	54.185	-52.060	126.722
64	0.63000	52.216	-51.636	126.829
65	0.64000	50.348	-51.303	126.944
66	0.65000	48.479	-51.006	127.027
67	0.66000	46.710	-50.558	127.097
68	0.67000	44.928	-50.235	127.162
69	0.68000	43.185	-49.957	127.231
70	0.69000	41.507	-49.517	127.262
71	0.70000	39.862	-49.192	127.296
72	0.71000	38.260	-48.848	127.373
73	0.72000	36.703	-48.566	127.455
74	0.73000	35.194	-48.278	127.546
75	0.74000	33.737	-47.952	127.618
76	0.75000	32.263	-47.607	127.719
77	0.76000	30.932	-47.326	127.798
78	0.77000	29.584	-47.105	127.900
79	0.78000	28.320	-46.798	127.965
80	0.79000	27.012	-46.504	128.038
81	0.80000	25.836	-46.169	128.068
82	0.81000	24.641	-45.965	128.160
83	0.82000	23.587	-45.722	128.174
84	0.83000	22.505	-45.451	128.224
85	0.84000	21.376	-45.169	128.266
86	0.85000	20.423	-44.956	128.305
87	0.86000	19.506	-44.757	128.388
88	0.87000	18.601	-44.568	128.476
89	0.88000	17.740	-44.347	128.529
90	0.89000	16.934	-44.168	128.619
91	0.90000	16.182	-43.952	128.677
92	0.91000	15.408	-43.663	128.661
93	0.92000	14.731	-43.490	128.724
94	0.93000	14.091	-43.310	128.768
95	0.94000	13.558	-43.134	128.765
96	0.95000	13.020	-42.952	128.777
97	0.96000	12.558	-42.810	128.805
98	0.97000	12.110	-42.678	128.837
99	0.98000	11.686	-42.568	128.876
100	0.99000	11.342	-42.349	128.870
101	1.00000	11.021	-42.218	128.897
102	1.01000	10.790	-42.091	128.929
103	1.02000	10.565	-41.977	128.951
104	1.03000	10.386	-41.873	128.968
105	1.04000	10.274	-41.793	128.952
106	1.05000	10.206	-41.732	128.976
107	1.06000	10.152	-41.631	128.950
108	1.07000	10.128	-41.541	128.932
109	1.08000	10.195	-41.518	128.910
110	1.09000	10.278	-41.476	128.891
111	1.10000	10.427	-41.466	128.879
112	1.11000	10.554	-41.394	128.870
113	1.12000	10.778	-41.400	128.869
114	1.13000	11.062	-41.410	128.854
115	1.14000	11.357	-41.388	128.857
116	1.15000	11.682	-41.390	128.844
117	1.16000	12.088	-41.429	128.809
118	1.17000	12.495	-41.447	128.763
119	1.18000	12.943	-41.496	128.702
120	1.19000	13.482	-41.629	128.666
121	1.20000	14.014	-41.666	128.602
122	1.21000	14.605	-41.772	128.563
123	1.22000	15.273	-41.907	128.550
124	1.23000	15.904	-42.007	128.516
125	1.24000	16.653	-42.141	128.487
126	1.25000	17.351	-42.259	128.446
127	1.26000	18.052	-42.349	128.401
128	1.27000	18.865	-42.554	128.346
129	1.28000	19.694	-42.718	128.296
130	1.29000	20.601	-42.917	128.268
131	1.30000	21.481	-43.108	128.190
132	1.31000	22.363	-43.304	128.159
133	1.32000	23.302	-43.512	128.089
134	1.33000	24.240	-43.698	128.015
135	1.34000	25.228	-43.933	127.929
136	1.35000	26.202	-44.187	127.889
137	1.36000	27.249	-44.483	127.853
138	1.37000	28.325	-44.783	127.821
139	1.38000	29.384	-45.054	127.766
140	1.39000	30.444	-45.337	127.732
141	1.40000	31.585	-45.622	127.665
142	1.41000	32.721	-45.979	127.637
143	1.42000	33.912	-46.337	127.596
144	1.43000	35.064	-46.671	127.518
145	1.44000	36.261	-47.014	127.440
146	1.45000	37.425	-47.327	127.378
147	1.46000	38.665	-47.653	127.308
148	1.47000	39.927	-48.082	127.273
149	1.48000	41.217	-48.426	127.240
150	1.49000	42.494	-48.831	127.194
151	1.50000	43.757	-49.173	127.151
152	1.51000	45.116	-49.590	127.132
153	1.52000	46.416	-50.021	127.099
154	1.53000	47.728	-50.358	127.030
155	1.54000	49.065	-50.733	126.983
156	1.55000	50.438	-51.166	126.964
157	1.56000	51.812	-51.576	126.910
158	1.57000	53.226	-51.951	126.831
159	1.58000	54.559	-52.343	126.780
160	1.59000	56.005	-52.720	126.755
161	1.60000	57.400	-53.132	126.711
162	1.61000	58.854	-53.572	126.677
163	1.62000	60.185	-53.863	126.627
164	1.63000	61.701	-54.297	126.653
165	1.64000	63.128	-54.728	126.597
166	1.65000	64.592	-55.099	126.581
167	1.66000	66.029	-55.475	126.566
168	1.67000	67.476	-55.850	126.505
169	1.68000	68.867	-56.181	126.466
170	1.69000	70.403	-56.594	126.464
171	1.70000	71.769	-56.936	126.397
172	1.71000	73.284	-57.268	126.325
173	1.72000	74.707	-57.617	126.317
174	1.73000	76.210	-58.006	126.333
175	1.74000	77.658	-58.309	126.278
176	1.75000	79.066	-58.698	126.259
177	1.76000	80.631	-59.068	126.306
178	1.77000	81.999	-59.342	126.254
179	1.78000	83.444	-59.714	126.244
180	1.79000	84.876	-60.084	126.276
181	1.80000	86.339	-60.284	126.179
182	1.81000	87.748	-60.693	126.224
183	1.82000	89.150	-60.944	126.180
184	1.83000	90.550	-61.279	126.156
185	1.84000	91.941	-61.546	126.093
186	1.85000	93.393	-61.902	126.168
187	1.86000	94.713	-62.166	126.119
188	1.87000	96.168	-62.465	126.115
189	1.88000	97.498	-62.730	126.163
190	1.89000	98.800	-63.008	126.133
191	1.90000	100.223	-63.253	126.130
192	1.91000	101.534	-63.589	126.192
193	1.92000	102.808	-63.779	126.122
194	1.93000	104.160	-64.041	126.132
195	1.94000	105.446	-64.331	126.176
196	1.95000	106.660	-64.466	126.080
197	1.96000	107.920	-64.735	126.095
198	1.97000	109.193	-65.073	126.179
199	1.98000	110.394	-65.233	126.119
200	1.99000	111.605	-65.507	126.148
201	2.00000	112.836	-65.802	126.235
202	2.01000	113.951	-65.940	126.185
203	2.02000	115.118	-66.146	126.182
204	2.03000	116.304	-66.448	126.263
205	2.04000	117.360	-66.602	126.238
206	2.05000	118.424	-66.779	126.210
207	2.06000	119.573	-67.050	126.257
208	2.07000	120.623	-67.218	126.281
209	2.08000	121.600	-67.382	126.249
210	2.09000	122.574	-67.528	126.241
211	2.10000	123.658	-67.848	126.330
212	2.11000	124.605	-67.992	126.326
213	2.12000	125.480	-68.188	126.329
214	2.13000	126.450	-68.374	126.333
215	2.14000	127.378	-68.611	126.415
216	2.15000	128.192	-68.708	126.426
217	2.16000	129.018	-68.848	126.421
218	2.17000	129.847	-69.089	126.434
219	2.18000	130.691	-69.221	126.427
220	2.19000	131.470	-69.453	126.482
221	2.20000	132.196	-69.576	126.493
222	2.21000	132.954	-69.766	126.525
223	2.22000	133.596	-69.959	126.511
224	2.23000	134.351	-70.087	126.499
225	2.24000	135.031	-70.274	126.552
226	2.25000	135.633	-70.455	126.614
227	2.26000	136.229	-70.567	126.625
228	2.27000	136.741	-70.704	126.647
229	2.28000	137.303	-70.853	126.681
230	2.29000	137.857	-71.039	126.725
231	2.30000	138.358	-71.145	126.684
232	2.31000	138.819	-71.262	126.684
233	2.32000	139.255	-71.391	126.702
234	2.33000	139.681	-71.562	126.739
235	2.34000	140.044	-71.647	126.743
236	2.35000	140.386	-71.775	126.751
237	2.36000	140.744	-71.846	126.753
238	2.37000	141.052	-72.028	126.806
239	2.38000	141.345	-72.134	126.830
240	2.39000	141.660	-72.226	126.840
241	2.40000	141.890	-72.321	126.814
242	2.41000	142.063	-72.390	126.823
243	2.42000	142.262	-72.512	126.841
244	2.43000	142.435	-72.644	126.879
245	2.44000	142.552	-72.716	126.879
246	2.45000	142.671	-72.795	126.890
247	2.46000	142.740	-72.874	126.891
248	2.47000	142.777	-72.956	126.897
249	2.48000	142.830	-73.004	126.897
250	2.49000	142.809	-73.047	126.905
251	2.50000	142.786	-73.101	126.915
252	2.51000	142.730	-73.134	126.922
253	2.52000	142.651	-73.173	126.934
254	2.53000	142.543	-73.187	126.943
255	2.54000	142.418	-73.200	126.951
256	2.55000	142.261	-73.233	126.948
257	2.56000	142.113	-73.223	126.930
258	2.57000	141.845	-73.158	126.897
259	2.58000	141.625	-73.145	126.888
260	2.59000	141.348	-73.065	126.841
261	2.60000	141.061	-73.033	126.814
262	2.61000	140.754	-73.003	126.826
263	2.62000	140.428	-72.986	126.876
264	2.63000	140.135	-72.951	126.868
265	2.64000	139.775	-72.943	126.877
266	2.65000	139.413	-72.900	126.873
267	2.66000	138.982	-72.855	126.884
268	2.67000	138.549	-72.699	126.839
269	2.68000	138.116	-72.606	126.820
270	2.69000	137.593	-72.458	126.755
271	2.70000	137.130	-72.353	126.734
272	2.71000	136.584	-72.286	126.744
273	2.72000	136.082	-72.211	126.768
274	2.73000	135.597	-72.108	126.756
275	2.74000	134.986	-71.910	126.718
276	2.75000	134.405	-71.738	126.670
277	2.76000	133.786	-71.566	126.652
278	2.77000	133.159	-71.443	126.639
279	2.78000	132.545	-71.321	126.646
280	2.79000	131.931	-71.210	126.681
281	2.80000	131.255	-70.964	126.626
282	2.81000	130.532	-70.688	126.547
283	2.82000	129.826	-70.540	126.547
284	2.83000	129.196	-70.386	126.522
285	2.84000	128.404	-70.185	126.504
286	2.85000	127.728	-70.006	126.522
287	2.86000	126.951	-69.757	126.464
288	2.87000	126.178	-69.585	126.451
289	2.88000	125.457	-69.413	126.437
290	2.89000	124.689	-69.279	126.449
291	2.90000	123.892	-68.961	126.431
